Method Name,Description
java.io.BufferedInputStream.available,Returns an estimate of the number of bytes that can be read (or  skipped over) from this input stream without blocking by the next  invocation of a method for this input stream.
java.io.BufferedInputStream.close,Closes this input stream and releases any system resources  associated with the stream.
java.io.BufferedInputStream.mark,See the general contract of themarkmethod ofInputStream.
java.io.BufferedInputStream.markSupported,Tests if this input stream supports themarkandresetmethods.
java.io.BufferedInputStream.read,See  the general contract of thereadmethod ofInputStream.
java.io.BufferedInputStream.read,"Reads bytes from this byte-input stream into the specified byte array,  starting at the given offset."
java.io.BufferedInputStream.reset,See the general contract of theresetmethod ofInputStream.
java.io.BufferedInputStream.skip,See the general contract of theskipmethod ofInputStream.
java.io.BufferedOutputStream.flush,Flushes this buffered output stream.
java.io.BufferedOutputStream.write,Writeslenbytes from the specified byte array  starting at offsetoffto this buffered output stream.
java.io.BufferedOutputStream.write,Writes the specified byte to this buffered output stream.
java.io.BufferedReader.close,Closes the stream and releases any system resources associated with  it.
java.io.BufferedReader.lines,"Returns aStream, the elements of which are lines read from  thisBufferedReader."
java.io.BufferedReader.mark,Marks the present position in the stream.
java.io.BufferedReader.markSupported,"Tells whether this stream supports the mark() operation, which it does."
java.io.BufferedReader.read,Reads a single character.
java.io.BufferedReader.read,Reads characters into a portion of an array.
java.io.BufferedReader.readLine,Reads a line of text.
java.io.BufferedReader.ready,Tells whether this stream is ready to be read.
java.io.BufferedReader.reset,Resets the stream to the most recent mark.
java.io.BufferedWriter.close,"Closes the stream, flushing it first."
java.io.BufferedWriter.flush,Flushes the stream.
java.io.BufferedWriter.newLine,Writes a line separator.
java.io.BufferedWriter.write,Writes a portion of an array of characters.
java.io.BufferedWriter.write,Writes a single character.
java.io.BufferedWriter.write,Writes a portion of a String.
java.io.ByteArrayInputStream.available,Returns the number of remaining bytes that can be read (or skipped over)  from this input stream.
java.io.ByteArrayInputStream.close,Closing aByteArrayInputStreamhas no effect.
java.io.ByteArrayInputStream.mark,Set the current marked position in the stream.
java.io.ByteArrayInputStream.markSupported,Tests if thisInputStreamsupports mark/reset.
java.io.ByteArrayInputStream.read,Reads the next byte of data from this input stream.
java.io.ByteArrayInputStream.read,Reads up tolenbytes of data into an array of bytes from this  input stream.
java.io.ByteArrayInputStream.readAllBytes,Reads all remaining bytes from the input stream.
java.io.ByteArrayInputStream.readNBytes,Reads the requested number of bytes from the input stream into the given  byte array.
java.io.ByteArrayInputStream.reset,Resets the buffer to the marked position.
java.io.ByteArrayInputStream.skip,Skipsnbytes of input from this input stream.
java.io.ByteArrayOutputStream.close,Closing aByteArrayOutputStreamhas no effect.
java.io.ByteArrayOutputStream.reset,"Resets thecountfield of thisByteArrayOutputStreamto zero, so that all currently accumulated output in the  output stream is discarded."
java.io.ByteArrayOutputStream.size,Returns the current size of the buffer.
java.io.ByteArrayOutputStream.toByteArray,Creates a newly allocated byte array.
java.io.ByteArrayOutputStream.toString,Converts the buffer's contents into a string decoding bytes using the  platform's default character set.
java.io.ByteArrayOutputStream.toString,Deprecated.This method does not properly convert bytes into characters.
java.io.ByteArrayOutputStream.toString,Converts the buffer's contents into a string by decoding the bytes using  the namedcharset.
java.io.ByteArrayOutputStream.toString,Converts the buffer's contents into a string by decoding the bytes using  the specifiedcharset.
java.io.ByteArrayOutputStream.write,Writeslenbytes from the specified byte array  starting at offsetoffto thisByteArrayOutputStream.
java.io.ByteArrayOutputStream.write,Writes the specified byte to thisByteArrayOutputStream.
java.io.ByteArrayOutputStream.writeBytes,Writes the complete contents of the specified byte array  to thisByteArrayOutputStream.
java.io.ByteArrayOutputStream.writeTo,"Writes the complete contents of thisByteArrayOutputStreamto  the specified output stream argument, as if by calling the output  stream's write method usingout.write(buf, 0, count)."
java.io.CharArrayReader.reset,"Resets the stream to the most recent mark, or to the beginning if it has  never been marked."
java.io.CharArrayReader.skip,Skips characters.
java.io.CharArrayWriter.append,Appends the specified character to this writer.
java.io.CharArrayWriter.append,Appends the specified character sequence to this writer.
java.io.CharArrayWriter.append,Appends a subsequence of the specified character sequence to this writer.
java.io.CharArrayWriter.close,Close the stream.
java.io.CharArrayWriter.flush,Flush the stream.
java.io.CharArrayWriter.reset,Resets the buffer so that you can use it again without  throwing away the already allocated buffer.
java.io.CharArrayWriter.toCharArray,Returns a copy of the input data.
java.io.CharArrayWriter.toString,Converts input data to a string.
java.io.CharArrayWriter.write,Writes characters to the buffer.
java.io.CharArrayWriter.write,Writes a character to the buffer.
java.io.CharArrayWriter.write,Write a portion of a string to the buffer.
java.io.CharArrayWriter.writeTo,Writes the contents of the buffer to another character stream.
java.io.Console.charset,Returns theCharsetobject used for  theConsole.
java.io.Console.flush,Flushes the console and forces any buffered output to be written  immediately .
java.io.Console.format,Writes a formatted string to this console's output stream using  the specified format string and arguments.
java.io.Console.printf,A convenience method to write a formatted string to this console's  output stream using the specified format string and arguments.
java.io.Console.reader,Retrieves the uniqueReaderobject associated  with this console.
java.io.Console.readLine,Reads a single line of text from the console.
java.io.Console.readLine,"Provides a formatted prompt, then reads a single line of text from the  console."
java.io.Console.readPassword,Reads a password or passphrase from the console with echoing disabled
java.io.Console.readPassword,"Provides a formatted prompt, then reads a password or passphrase from  the console with echoing disabled."
java.io.Console.writer,Retrieves the uniquePrintWriterobject  associated with this console.
java.io.DataInputStream.read,Reads some number of bytes from the contained input stream and  stores them into the buffer arrayb.
java.io.DataInputStream.read,Reads up tolenbytes of data from the contained  input stream into an array of bytes.
java.io.DataInputStream.readBoolean,See the general contract of thereadBooleanmethod ofDataInput.
java.io.DataInputStream.readByte,See the general contract of thereadBytemethod ofDataInput.
java.io.DataInputStream.readChar,See the general contract of thereadCharmethod ofDataInput.
java.io.DataInputStream.readDouble,See the general contract of thereadDoublemethod ofDataInput.
java.io.DataInputStream.readFloat,See the general contract of thereadFloatmethod ofDataInput.
java.io.DataInputStream.readFully,See the general contract of thereadFullymethod ofDataInput.
java.io.DataInputStream.readInt,See the general contract of thereadIntmethod ofDataInput.
java.io.DataInputStream.readLine,Deprecated.This method does not properly convert bytes to characters.
java.io.DataInputStream.readLong,See the general contract of thereadLongmethod ofDataInput.
java.io.DataInputStream.readShort,See the general contract of thereadShortmethod ofDataInput.
java.io.DataInputStream.readUnsignedByte,See the general contract of thereadUnsignedBytemethod ofDataInput.
java.io.DataInputStream.readUnsignedShort,See the general contract of thereadUnsignedShortmethod ofDataInput.
java.io.DataInputStream.readUTF,See the general contract of thereadUTFmethod ofDataInput.
java.io.DataInputStream.readUTF,Reads from the  streamina representation  of a Unicode  character string encoded inmodified UTF-8format;  this string of characters is then returned as aString.
java.io.DataInputStream.skipBytes,See the general contract of theskipBytesmethod ofDataInput.
java.io.DataOutputStream.flush,Flushes this data output stream.
java.io.DataOutputStream.size,"Returns the current value of the counterwritten,  the number of bytes written to this data output stream so far."
java.io.DataOutputStream.write,Writeslenbytes from the specified byte array  starting at offsetoffto the underlying output stream.
java.io.DataOutputStream.write,Writes the specified byte (the low eight bits of the argumentb) to the underlying output stream.
java.io.DataOutputStream.writeBoolean,Writes abooleanto the underlying output stream as  a 1-byte value.
java.io.DataOutputStream.writeByte,Writes out abyteto the underlying output stream as  a 1-byte value.
java.io.DataOutputStream.writeBytes,Writes out the string to the underlying output stream as a  sequence of bytes.
java.io.DataOutputStream.writeChar,"Writes acharto the underlying output stream as a  2-byte value, high byte first."
java.io.DataOutputStream.writeChars,Writes a string to the underlying output stream as a sequence of  characters.
java.io.DataOutputStream.writeDouble,"Converts the double argument to alongusing thedoubleToLongBitsmethod in classDouble,  and then writes thatlongvalue to the underlying  output stream as an 8-byte quantity, high byte first."
java.io.DataOutputStream.writeFloat,"Converts the float argument to anintusing thefloatToIntBitsmethod in classFloat,  and then writes thatintvalue to the underlying  output stream as a 4-byte quantity, high byte first."
java.io.DataOutputStream.writeInt,"Writes anintto the underlying output stream as four  bytes, high byte first."
java.io.DataOutputStream.writeLong,"Writes alongto the underlying output stream as eight  bytes, high byte first."
java.io.DataOutputStream.writeShort,"Writes ashortto the underlying output stream as two  bytes, high byte first."
java.io.DataOutputStream.writeUTF,Writes a string to the underlying output stream usingmodified UTF-8encoding in a machine-independent manner.
java.io.File.canExecute,Tests whether the application can execute the file denoted by this  abstract pathname.
java.io.File.canRead,Tests whether the application can read the file denoted by this  abstract pathname.
java.io.File.canWrite,Tests whether the application can modify the file denoted by this  abstract pathname.
java.io.File.compareTo,Compares two abstract pathnames lexicographically.
java.io.File.createNewFile,"Atomically creates a new, empty file named by this abstract pathname if  and only if a file with this name does not yet exist."
java.io.File.createTempFile,"Creates an empty file in the default temporary-file directory, using  the given prefix and suffix to generate its name."
